# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	M	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	PCR	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	assay_name	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_conc	dna_conc_unit	dna_yield	dna_yield_unit
GOMECC4_PENSACOLA_Sta33_Deep_A	sample			GOMECC4_PENSACOLA_Sta33_Deep					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1820	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1820	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		344	344	407		10.589	0.0327		7.862		35.281								2204.75	µmol/kg							117.046	µmol/kg																					25.2396	µmol/kg	0.01072	µmol/kg									0.31976	µmol/kg	98.5504	µmol/kg	1.37E-08	M	25.2503	µmol/kg	1.402	632	µatm	1.55298	µmol/kg	347	dbar	13.5225	µmol/kg	2326.75	µmol/kg	4.7151	GOMECC4_102	PENSACOLA	Sta33	not provided	4	A	Plate4_2	GOMECC2021_Plate4	2	B1	SAMN37516192	seawater metagenome	DCM = 50 m.	0.4224	ng/µl	63.36	ng
GOMECC4_PENSACOLA_Sta33_Deep_B	sample			GOMECC4_PENSACOLA_Sta33_Deep					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1740	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1740	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		344	344	407		10.589	0.0327		7.862		35.281								2204.75	µmol/kg							117.046	µmol/kg																					25.2396	µmol/kg	0.01072	µmol/kg									0.31976	µmol/kg	98.5504	µmol/kg	1.37E-08	M	25.2503	µmol/kg	1.402	632	µatm	1.55298	µmol/kg	347	dbar	13.5225	µmol/kg	2326.75	µmol/kg	4.7151	GOMECC4_103	PENSACOLA	Sta33	not provided	4	B	Plate4_20	GOMECC2021_Plate4	20	D3	SAMN37516193	seawater metagenome		0.2322	ng/µl	34.83	ng
GOMECC4_PENSACOLA_Sta33_Deep_C	sample			GOMECC4_PENSACOLA_Sta33_Deep					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1840	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1840	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		344	344	407		10.589	0.0327		7.862		35.281								2204.75	µmol/kg							117.046	µmol/kg																					25.2396	µmol/kg	0.01072	µmol/kg									0.31976	µmol/kg	98.5504	µmol/kg	1.37E-08	M	25.2503	µmol/kg	1.402	632	µatm	1.55298	µmol/kg	347	dbar	13.5225	µmol/kg	2326.75	µmol/kg	4.7151	GOMECC4_104	PENSACOLA	Sta33	not provided	4	C	Plate4_17	GOMECC2021_Plate4	17	A3	SAMN37516194	seawater metagenome		0.1855	ng/µl	27.825	ng
GOMECC4_PENSACOLA_Sta33_DCM_A	sample			GOMECC4_PENSACOLA_Sta33_DCM					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		48	48	407		26.041	0.0563		7.992		36.128								2100.35	µmol/kg							178.93	µmol/kg																					1.08032	µmol/kg	0.2223	µmol/kg									0.39488	µmol/kg	197.702	µmol/kg	1.02E-08	M	1.30263	µmol/kg	3.315	478	µatm	0.13455	µmol/kg	49	dbar	4.08534	µmol/kg	2393.66	µmol/kg	4.5619	GOMECC4_105	PENSACOLA	Sta33	not provided	14	A	Plate4_3	GOMECC2021_Plate4	3	C1	SAMN37516195	seawater metagenome	AM cast.	5.077	ng/µl	761.55	ng
GOMECC4_PENSACOLA_Sta33_DCM_B	sample			GOMECC4_PENSACOLA_Sta33_DCM					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		48	48	407		26.041	0.0563		7.992		36.128								2100.35	µmol/kg							178.93	µmol/kg																					1.08032	µmol/kg	0.2223	µmol/kg									0.39488	µmol/kg	197.702	µmol/kg	1.02E-08	M	1.30263	µmol/kg	3.315	478	µatm	0.13455	µmol/kg	49	dbar	4.08534	µmol/kg	2393.66	µmol/kg	4.5619	GOMECC4_106	PENSACOLA	Sta33	not provided	14	B	Plate4_4	GOMECC2021_Plate4	4	D1	SAMN37516196	seawater metagenome	PM cast.	4.39	ng/µl	658.5	ng
GOMECC4_PENSACOLA_Sta33_DCM_C	sample			GOMECC4_PENSACOLA_Sta33_DCM					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		48	48	407		26.041	0.0563		7.992		36.128								2100.35	µmol/kg							178.93	µmol/kg																					1.08032	µmol/kg	0.2223	µmol/kg									0.39488	µmol/kg	197.702	µmol/kg	1.02E-08	M	1.30263	µmol/kg	3.315	478	µatm	0.13455	µmol/kg	49	dbar	4.08534	µmol/kg	2393.66	µmol/kg	4.5619	GOMECC4_107	PENSACOLA	Sta33	not provided	14	C	Plate4_15	GOMECC2021_Plate4	15	G2	SAMN37516197	seawater metagenome		3.094	ng/µl	464.1	ng
GOMECC4_PENSACOLA_Sta33_Surface_A	sample			GOMECC4_PENSACOLA_Sta33_Surface					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1920	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1920	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		3	3	407		27.761	0.0351		8.058		34.238								2006.66	µmol/kg							199.843	µmol/kg																					0	µmol/kg	0.00488	µmol/kg									0.36584	µmol/kg	221.954	µmol/kg	8.75E-09	M	0.00488	µmol/kg	3.778	393	µatm	0.04	µmol/kg	3	dbar	1.55114	µmol/kg	2334.34	µmol/kg	4.5911	GOMECC4_108	PENSACOLA	Sta33	not provided	20	A	Plate3_34	GOMECC2021_Plate3	34	B5	SAMN37516198	seawater metagenome		1.812	ng/µl	271.8	ng
GOMECC4_PENSACOLA_Sta33_Surface_B	sample			GOMECC4_PENSACOLA_Sta33_Surface					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1940	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1940	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		3	3	407		27.761	0.0351		8.058		34.238								2006.66	µmol/kg							199.843	µmol/kg																					0	µmol/kg	0.00488	µmol/kg									0.36584	µmol/kg	221.954	µmol/kg	8.75E-09	M	0.00488	µmol/kg	3.778	393	µatm	0.04	µmol/kg	3	dbar	1.55114	µmol/kg	2334.34	µmol/kg	4.5911	GOMECC4_109	PENSACOLA	Sta33	not provided	20	B	Plate3_37	GOMECC2021_Plate3	37	E5	SAMN37516199	seawater metagenome		2.974	ng/µl	446.1	ng
GOMECC4_PENSACOLA_Sta33_Surface_C	sample			GOMECC4_PENSACOLA_Sta33_Surface					-87.236	29.463					USA: Gulf of Mexico	2021-09-23T19:50-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1940	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1940	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		3	3	407		27.761	0.0351		8.058		34.238								2006.66	µmol/kg							199.843	µmol/kg																					0	µmol/kg	0.00488	µmol/kg									0.36584	µmol/kg	221.954	µmol/kg	8.75E-09	M	0.00488	µmol/kg	3.778	393	µatm	0.04	µmol/kg	3	dbar	1.55114	µmol/kg	2334.34	µmol/kg	4.5911	GOMECC4_110	PENSACOLA	Sta33	not provided	20	C	Plate3_26	GOMECC2021_Plate3	26	B4	SAMN37516200	seawater metagenome		1.798	ng/µl	269.7	ng
GOMECC4_PENSACOLA_Sta35_Deep_A	sample			GOMECC4_PENSACOLA_Sta35_Deep					-87.76	28.701					USA: Gulf of Mexico	2021-09-24T07:00-04:00				marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000211]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		2245	2245	2257		4.295	0.0305		7.934		34.973								2195.61	µmol/kg							214.382	µmol/kg																					22.0966	µmol/kg	0.00879	µmol/kg									0.26453	µmol/kg	109.386	µmol/kg	1.16E-08	M	22.1054	µmol/kg	1.021	413	µatm	1.51397	µmol/kg	2272	dbar	25.2007	µmol/kg	2336.59	µmol/kg	4.4475	GOMECC4_111	PENSACOLA	Sta35	not provided	2	A	Plate2_15	GOMECC2021_Plate2	15	G2	SAMN37516201	seawater metagenome		0.1087	ng/µl	16.305	ng
GOMECC4_PENSACOLA_Sta35_Deep_B	sample			GOMECC4_PENSACOLA_Sta35_Deep					-87.76	28.701					USA: Gulf of Mexico	2021-09-24T07:00-04:00				marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000211]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		2245	2245	2257		4.295	0.0305		7.934		34.973								2195.61	µmol/kg							214.382	µmol/kg																					22.0966	µmol/kg	0.00879	µmol/kg									0.26453	µmol/kg	109.386	µmol/kg	1.16E-08	M	22.1054	µmol/kg	1.021	413	µatm	1.51397	µmol/kg	2272	dbar	25.2007	µmol/kg	2336.59	µmol/kg	4.4475	GOMECC4_112	PENSACOLA	Sta35	not provided	2	B	Plate2_20	GOMECC2021_Plate2	20	D3	SAMN37516202	seawater metagenome		0.08671	ng/µl	13.0065	ng
GOMECC4_PENSACOLA_Sta35_Deep_C	sample			GOMECC4_PENSACOLA_Sta35_Deep					-87.76	28.701					USA: Gulf of Mexico	2021-09-24T07:00-04:00				marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000211]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		2245	2245	2257		4.295	0.0305		7.934		34.973								2195.61	µmol/kg							214.382	µmol/kg																					22.0966	µmol/kg	0.00879	µmol/kg									0.26453	µmol/kg	109.386	µmol/kg	1.16E-08	M	22.1054	µmol/kg	1.021	413	µatm	1.51397	µmol/kg	2272	dbar	25.2007	µmol/kg	2336.59	µmol/kg	4.4475	GOMECC4_113	PENSACOLA	Sta35	not provided	2	C	Plate2_4	GOMECC2021_Plate2	4	D1	SAMN37516203	seawater metagenome		0.4248	ng/µl	63.72	ng
GOMECC4_PENSACOLA_Sta35_DCM_A	sample			GOMECC4_PENSACOLA_Sta35_DCM					-87.76	28.701					USA: Gulf of Mexico	2021-09-24T07:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1880	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1880	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		39	39	2257		26.591	0.0479		7.997		36.077								2091.88	µmol/kg							184.361	µmol/kg																					1.16649	µmol/kg	0.27602	µmol/kg									0.27212	µmol/kg	208.317	µmol/kg	1.01E-08	M	1.44251	µmol/kg	3.405	471	µatm	0.12972	µmol/kg	39	dbar	4.26609	µmol/kg	2392.4	µmol/kg	4.5958	GOMECC4_114	PENSACOLA	Sta35	not provided	19	A	Plate2_10	GOMECC2021_Plate2	10	B2	SAMN37516204	seawater metagenome		2.058	ng/µl	308.7	ng
GOMECC4_PENSACOLA_Sta35_DCM_B	sample			GOMECC4_PENSACOLA_Sta35_DCM					-87.76	28.701					USA: Gulf of Mexico	2021-09-24T07:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1940	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1940	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		39	39	2257		26.591	0.0479		7.997		36.077								2091.88	µmol/kg							184.361	µmol/kg																					1.16649	µmol/kg	0.27602	µmol/kg									0.27212	µmol/kg	208.317	µmol/kg	1.01E-08	M	1.44251	µmol/kg	3.405	471	µatm	0.12972	µmol/kg	39	dbar	4.26609	µmol/kg	2392.4	µmol/kg	4.5958	GOMECC4_115	PENSACOLA	Sta35	not provided	19	B	Plate2_7	GOMECC2021_Plate2	7	G1	SAMN37516205	seawater metagenome	AM cast.	5.501	ng/µl	825.15	ng
